Indicator,Symbol,Jointed,Value dependent,Processing time
Morning Doji Star,CDLMORNINGDOJISTAR,"[""Morning Doji Star"" , ""CDLMORNINGDOJISTAR""],",No,0.003031731
Morning Star,CDLMORNINGSTAR,"[""Morning Star"" , ""CDLMORNINGSTAR""],",No,0.00299859
On-Neck Pattern,CDLONNECK,"[""On-Neck Pattern"" , ""CDLONNECK""],",No,0.001998186
Piercing Pattern,CDLPIERCING,"[""Piercing Pattern"" , ""CDLPIERCING""],",No,0.001999617
Rickshaw Man,CDLRICKSHAWMAN,"[""Rickshaw Man"" , ""CDLRICKSHAWMAN""],",No,0.002997398
Rising/Falling Three Methods,CDLRISEFALL3METHODS,"[""Rising/Falling Three Methods"" , ""CDLRISEFALL3METHODS""],",No,0.001998901
Separating Lines,CDLSEPARATINGLINES,"[""Separating Lines"" , ""CDLSEPARATINGLINES""],",No,0.002998829
Shooting Star,CDLSHOOTINGSTAR,"[""Shooting Star"" , ""CDLSHOOTINGSTAR""],",No,0.001998901
Short Line Candle,CDLSHORTLINE,"[""Short Line Candle"" , ""CDLSHORTLINE""],",No,0.002997875
Spinning Top,CDLSPINNINGTOP,"[""Spinning Top"" , ""CDLSPINNINGTOP""],",Yes,0.002999067
Stalled Pattern,CDLSTALLEDPATTERN,"[""Stalled Pattern"" , ""CDLSTALLEDPATTERN""],",No,0.001997948
Stick Sandwich,CDLSTICKSANDWICH,"[""Stick Sandwich"" , ""CDLSTICKSANDWICH""],",No,0.001999378
Takuri (Dragonfly Doji with very long lower shadow),CDLTAKURI,"[""Takuri (Dragonfly Doji with very long lower shadow)"" , ""CDLTAKURI""],",No,0.001998901
Tasuki Gap,CDLTASUKIGAP,"[""Tasuki Gap"" , ""CDLTASUKIGAP""],",No,0.001999617
Thrusting Pattern,CDLTHRUSTING,"[""Thrusting Pattern"" , ""CDLTHRUSTING""],",No,0.001998425
Tristar Pattern,CDLTRISTAR,"[""Tristar Pattern"" , ""CDLTRISTAR""],",No,0.001998663
Unique 3 River,CDLUNIQUE3RIVER,"[""Unique 3 River"" , ""CDLUNIQUE3RIVER""],",No,0.002000093
Upside Gap Two Crows,CDLUPSIDEGAP2CROWS,"[""Upside Gap Two Crows"" , ""CDLUPSIDEGAP2CROWS""],",No,0.002997398
Upside/Downside Gap Three Methods,CDLXSIDEGAP3METHODS,"[""Upside/Downside Gap Three Methods"" , ""CDLXSIDEGAP3METHODS""],",No,0.001998901
Beta,BETA,"[""Beta"" , ""BETA""],",No,0.001998425
Pearson's Correlation Coefficient (r),CORREL,"[""Pearson's Correlation Coefficient (r)"" , ""CORREL""],",Yes,0.002998114
Linear Regression,LINEARREG,"[""Linear Regression"" , ""LINEARREG""],",Yes,0.001999378
Linear Regression Angle,LINEARREG_ANGLE,"[""Linear Regression Angle"" , ""LINEARREG_ANGLE""],",Yes,0.00299859
Linear Regression Intercept,LINEARREG_INTERCEPT,"[""Linear Regression Intercept"" , ""LINEARREG_INTERCEPT""],",Yes,0.002997875
Linear Regression Slope,LINEARREG_SLOPE,"[""Linear Regression Slope"" , ""LINEARREG_SLOPE""],",Yes,0.001998901
Standard Deviation,STDDEV,"[""Standard Deviation"" , ""STDDEV""],",Yes,0.00199914
Time Series Forecast,TSF,"[""Time Series Forecast"" , ""TSF""],",Yes,0.002998114
Variance,VAR,"[""Variance"" , ""VAR""],",Yes,0.001999617
